gene_id	log2FC	pvalue
ENSG00000100749	-1.556955207	3.04E-22
ENSG00000101974	-1.171219927	3.65E-07
ENSG00000100319	2.155164924	1.34E-19
ENSG00000144283	-1.162679093	2.45E-16
ENSG00000106415	-1.199747258	2.36E-12
ENSG00000158062	1.232653006	7.18E-10
ENSG00000259768	1.053284885	1.51E-09
ENSG00000215244	-3.90640295	3.90E-05
ENSG00000221963	-2.220593918	3.67E-05
ENSG00000206562	2.171918271	1.60E-27
ENSG00000108641	-1.510186687	1.14E-07
ENSG00000069956	-1.112005244	7.72E-12
ENSG00000267827	1.019047018	6.40E-07
ENSG00000161267	-1.128370387	3.54E-08
ENSG00000078098	-1.806060177	1.58E-09
ENSG00000130779	-1.674356813	5.65E-21
ENSG00000099365	-1.102858449	0.000224322
ENSG00000241288	-2.311645934	2.64E-18
ENSG00000159714	-3.015436674	2.88E-05
ENSG00000214922	3.170351523	1.79E-25
ENSG00000157483	-1.11393877	3.65E-10
ENSG00000111700	-1.182401076	4.13E-06
ENSG00000185437	1.607974884	0.002312482
ENSG00000151917	1.314958454	1.08E-05
ENSG00000148200	-1.580969209	2.65E-12
ENSG00000085788	-2.534646776	5.57E-32
ENSG00000186280	-2.168487225	4.85E-10
ENSG00000227252	-1.740679314	0.001152388
ENSG00000164124	-2.523688473	9.11E-06
ENSG00000283088	1.186031487	0.000401997
ENSG00000123064	-1.048168709	2.60E-08
ENSG00000095261	-1.402880781	1.52E-13
ENSG00000248698	-2.814311943	8.16E-15
ENSG00000204764	-1.275353925	1.06E-11
ENSG00000107738	1.101273321	3.80E-06
ENSG00000254757	-1.196027049	0.001260827
ENSG00000127337	-1.760218957	6.83E-17
ENSG00000143952	-1.233233975	1.65E-09
ENSG00000177200	-2.493845458	7.87E-34
ENSG00000139926	-1.009158072	6.92E-12
ENSG00000171853	-1.168316219	3.21E-10
ENSG00000179818	1.707938231	2.15E-06
ENSG00000172890	-1.014680121	1.13E-05
ENSG00000165487	-2.796265039	4.80E-60
ENSG00000159445	-2.303219645	4.80E-20
ENSG00000021762	-4.143106088	4.13E-33
ENSG00000100578	-2.006880043	8.76E-28
ENSG00000138190	-1.673779223	8.40E-16
ENSG00000168143	-1.198710516	3.18E-05
ENSG00000240032	1.634183549	4.79E-14
ENSG00000148090	-1.4731453	1.64E-08
ENSG00000213676	1.288668154	1.76E-06
ENSG00000106028	1.419971605	1.54E-07
ENSG00000134317	1.143477469	7.06E-06
ENSG00000174842	-1.122012431	1.18E-06
ENSG00000165323	-1.527538864	5.09E-13
ENSG00000145730	-2.392876629	4.99E-28
ENSG00000163138	1.303732309	4.84E-15
ENSG00000168016	-2.620812371	3.79E-07
ENSG00000073711	-1.481032801	1.26E-18
ENSG00000152952	1.455432089	2.00E-18
ENSG00000115484	1.084705909	3.83E-12
ENSG00000176715	-2.016672527	8.47E-14
ENSG00000114126	-2.569245488	2.32E-34
ENSG00000146416	-3.119135904	1.05E-53
ENSG00000049167	-1.31960625	4.12E-13
ENSG00000006704	-1.940263149	3.01E-16
ENSG00000144320	-2.045447966	2.79E-31
ENSG00000283179	-2.755023603	1.04E-05
ENSG00000232692	-1.489524424	2.01E-05
ENSG00000171877	-2.597829388	3.91E-52
ENSG00000213160	-1.017346346	8.31E-09
ENSG00000131471	3.06531351	0.002310066
ENSG00000163050	-1.603674618	6.42E-16
ENSG00000219626	-1.041165244	0.000287947
ENSG00000213096	-1.162111464	2.68E-10
ENSG00000178234	-1.973427768	3.62E-29
ENSG00000185305	-1.488462343	3.27E-16
ENSG00000112584	-2.01950163	5.25E-20
ENSG00000112367	-1.019912728	4.71E-06
ENSG00000019485	-1.082090264	3.39E-06
ENSG00000122547	-1.295557074	7.76E-09
ENSG00000131848	-1.611613428	5.48E-10
ENSG00000088756	-2.735323348	1.84E-20
ENSG00000177565	-1.073162243	1.66E-06
ENSG00000186260	-2.988511788	4.18E-49
ENSG00000221818	-2.027688144	1.73E-14
ENSG00000151575	-2.912941922	1.12E-38
ENSG00000135549	1.003693088	7.83E-05
ENSG00000259345	-2.408380771	3.90E-11
ENSG00000273496	2.216317333	9.68E-05
ENSG00000178980	1.287138086	1.56E-09
ENSG00000273340	2.37740245	1.07E-11
ENSG00000141564	-1.408902391	9.40E-16
ENSG00000179104	1.185727242	2.36E-06
ENSG00000215421	-1.337345022	2.39E-13
ENSG00000155097	1.17629579	5.93E-14
ENSG00000185022	2.171718454	6.31E-17
ENSG00000102743	-2.274988784	9.95E-17
ENSG00000167123	-1.010653274	0.000739717
ENSG00000179832	-1.089047248	8.38E-06
ENSG00000161647	-1.264834127	1.46E-07
ENSG00000091140	-1.324506943	1.77E-12
ENSG00000278903	1.216854614	3.22E-09
ENSG00000159720	1.40343072	1.15E-17
ENSG00000250820	1.551030652	0.000392333
ENSG00000102781	-1.067552376	1.86E-07
ENSG00000151065	-1.194190391	1.11E-09
ENSG00000175354	-1.113047124	3.04E-12
ENSG00000127838	-1.056078834	1.80E-07
ENSG00000180998	1.084574046	4.91E-05
ENSG00000243701	3.702489337	3.25E-16
ENSG00000111647	-1.022450123	3.05E-11
ENSG00000197872	-2.024311608	4.16E-07
ENSG00000112425	-2.855262391	6.50E-09
ENSG00000100014	-1.651889651	1.74E-16
ENSG00000114670	-1.4279535	1.22E-08
ENSG00000283061	7.812011965	1.89E-08
ENSG00000233493	4.308859996	1.52E-12
ENSG00000283160	3.670228644	2.49E-28
ENSG00000172361	3.359682992	1.21E-34
ENSG00000251537	3.339940647	1.80E-21
ENSG00000181135	3.307023439	3.43E-09
ENSG00000172733	3.143074258	6.98E-08
ENSG00000231305	3.113220906	0.000217882
ENSG00000213901	2.972468507	0.000338647
ENSG00000198106	2.81156283	9.30E-23
ENSG00000186205	2.63653428	0.000186971
ENSG00000268975	2.607587839	1.06E-22
ENSG00000263563	2.560929365	1.90E-19
ENSG00000140839	2.488050221	0.000207094
ENSG00000145794	2.416900914	1.58E-16
ENSG00000135924	2.338663711	2.02E-14
ENSG00000272869	2.206344856	4.00E-29
ENSG00000135111	2.165798501	3.96E-21
ENSG00000258153	2.153023435	0.000111144
ENSG00000158482	2.146077001	0.000288016
ENSG00000231871	2.069252652	4.45E-07
ENSG00000109390	2.02585713	4.82E-06
ENSG00000198743	2.004152245	6.95E-27
ENSG00000258645	1.785565823	1.90E-05
ENSG00000103241	1.727725371	0.00017971
ENSG00000246985	1.716859912	0.001156255
ENSG00000274020	1.601223249	7.41E-06
ENSG00000204681	1.594276098	0.000490665
ENSG00000163219	1.587108198	0.000928505
ENSG00000205670	1.390645233	8.44E-05
ENSG00000263809	1.383642779	2.26E-08
ENSG00000172530	1.334966911	4.72E-09
ENSG00000103326	1.312217918	6.69E-07
ENSG00000198925	1.307033378	1.17E-05
ENSG00000107949	1.304297321	9.54E-11
ENSG00000141873	1.208490649	2.56E-05
ENSG00000230735	1.138196702	5.91E-05
ENSG00000271894	1.085890423	3.57E-06
ENSG00000260280	1.000231392	6.44E-05
ENSG00000205209	-1.055367228	0.000248542
ENSG00000169908	-1.067191472	9.04E-05
ENSG00000231952	-1.130378756	0.000483104
ENSG00000053254	-1.179048814	9.96E-09
ENSG00000196345	-1.193549473	0.002274974
ENSG00000142173	-1.202779088	3.53E-05
ENSG00000274810	-1.212826563	0.000110555
ENSG00000278782	-1.270497134	0.000189629
ENSG00000119392	-1.283139916	1.40E-07
ENSG00000128283	-1.286415951	2.27E-10
ENSG00000173894	-1.288682239	2.41E-06
ENSG00000131697	-1.307725292	9.32E-12
ENSG00000203705	-1.31900174	3.94E-06
ENSG00000101752	-1.336502492	3.60E-13
ENSG00000223875	-1.345915587	0.000587467
ENSG00000128383	-1.353208106	1.07E-05
ENSG00000070444	-1.479357505	1.16E-06
ENSG00000260644	-1.505824449	0.001173043
ENSG00000130584	-1.529104075	6.95E-10
ENSG00000174837	-1.550867769	3.23E-07
ENSG00000141127	-1.560595818	1.41E-18
ENSG00000168243	-1.582085674	1.83E-05
ENSG00000204946	-1.589722465	2.15E-06
ENSG00000068097	-1.635560399	3.43E-20
ENSG00000224271	-1.650210689	0.00115516
ENSG00000186868	-1.797935384	3.26E-10
ENSG00000115525	-1.798398681	1.49E-07
ENSG00000198542	-1.808851153	5.01E-05
ENSG00000110031	-1.8108399	9.32E-10
ENSG00000112357	-1.845610887	2.45E-18
ENSG00000114948	-1.85435738	1.54E-11
ENSG00000231421	-1.873674606	0.002049016
ENSG00000180881	-1.890088443	3.44E-06
ENSG00000005156	-1.926020724	3.66E-14
ENSG00000084112	-1.961835373	1.21E-28
ENSG00000188177	-1.963921981	1.50E-11
ENSG00000075790	-1.969982327	2.03E-17
ENSG00000267526	-2.063801919	3.92E-05
ENSG00000164125	-2.102012324	1.63E-06
ENSG00000257046	-2.167343893	3.77E-08
ENSG00000085117	-2.206034157	2.58E-12
ENSG00000123992	-2.289864266	2.71E-18
ENSG00000101311	-2.38124445	1.51E-12
ENSG00000248592	-2.473999501	0.000488189
ENSG00000103227	-2.500035369	3.66E-08
ENSG00000172765	-2.591326642	5.93E-32
ENSG00000226990	-2.613851061	0.001772115
ENSG00000232759	-2.63304173	2.45E-05
ENSG00000107902	-2.64464764	6.23E-09
ENSG00000283676	-2.687555337	0.000669473
ENSG00000128039	-2.709302124	2.14E-11
ENSG00000250634	-2.884977076	6.99E-31
ENSG00000268696	-3.053951567	1.08E-13
ENSG00000168405	-3.076565357	1.78E-09
ENSG00000204410	-3.120648929	0.000164672
ENSG00000267199	-3.317500013	0.000113565
ENSG00000228801	-3.48141512	3.28E-18
ENSG00000171408	-3.482536646	3.92E-41
ENSG00000066629	-3.49280415	2.32E-30
ENSG00000257526	-3.558027565	4.88E-10
ENSG00000225205	-3.66538512	2.94E-15
ENSG00000107829	-4.256123137	1.48E-51
ENSG00000202408	-4.853988844	2.95E-06
ENSG00000164627	-1.271060448	0.000102705
ENSG00000160746	-1.171061077	7.65E-09
ENSG00000139154	3.190561482	1.37E-28
ENSG00000175198	-1.261794428	3.85E-14
ENSG00000237813	-2.460456509	2.46E-24
ENSG00000152377	1.226665845	4.65E-05
ENSG00000141068	2.423044207	3.68E-24
ENSG00000237094	-1.542427919	1.13E-06
ENSG00000163738	3.279265658	2.46E-57
ENSG00000115935	-4.472107955	5.51E-45
ENSG00000197594	-2.439378922	1.15E-26
ENSG00000166024	-1.256927486	8.63E-14
ENSG00000171723	-1.456131387	3.87E-10
ENSG00000155792	-1.564575399	6.33E-05
ENSG00000083123	-1.219649116	8.84E-10
ENSG00000159433	-1.635622842	2.98E-16
ENSG00000198740	-1.704966901	6.12E-28
ENSG00000115648	-3.347365691	9.62E-06
ENSG00000088367	-1.173253892	3.77E-06
ENSG00000107798	-2.329300016	2.92E-27
ENSG00000158623	-2.136117583	1.07E-24
ENSG00000171055	-1.931511157	3.52E-17
ENSG00000175764	-3.047622629	1.72E-16
ENSG00000128805	-3.983291633	4.69E-40
ENSG00000163746	2.380073058	0.001107881
ENSG00000200169	-2.576286742	7.84E-10
ENSG00000278259	-1.131947905	6.51E-10
ENSG00000187951	-1.078686716	8.57E-08
ENSG00000130640	-1.657050111	3.23E-06
ENSG00000153558	-1.33385895	9.36E-10
ENSG00000166938	-2.86140866	4.31E-34
ENSG00000064309	-1.006822815	0.00025618
ENSG00000068489	-1.333455774	1.47E-12
ENSG00000167291	-3.862647495	1.55E-57
ENSG00000129562	1.196545794	7.29E-10
ENSG00000213918	1.238526945	1.10E-06
ENSG00000116675	-3.304676657	8.21E-77
ENSG00000198399	1.114455517	1.25E-11
ENSG00000167264	-1.340316321	6.19E-10
ENSG00000146409	-1.844689357	1.64E-09
ENSG00000125952	-1.384533311	5.54E-06
ENSG00000183840	-2.221302906	1.17E-31
ENSG00000170006	-1.073837685	0.001169679
ENSG00000116120	-2.790844679	3.10E-35
ENSG00000105750	-1.382550681	7.64E-13
ENSG00000142875	-1.215652134	1.58E-09
ENSG00000104695	1.960956154	1.17E-34
ENSG00000276418	-1.074424546	9.91E-07
ENSG00000176915	1.145880749	9.47E-10
ENSG00000107105	-1.964533193	1.20E-25
ENSG00000115827	-1.541806609	3.47E-15
ENSG00000231290	-5.256443518	6.04E-08
ENSG00000172927	-3.440884276	0.00011416
ENSG00000254526	-2.780685456	4.13E-36
ENSG00000094631	-1.266029304	0.000204639
ENSG00000255730	-1.317823928	5.23E-11
ENSG00000166377	-2.494611324	2.21E-27
ENSG00000175806	-1.632043006	1.46E-13
ENSG00000136881	3.866136608	0.000127926
ENSG00000262633	-1.28295375	0.000422056
ENSG00000120963	1.508580345	5.92E-14
ENSG00000111727	-1.0244529	2.51E-07
ENSG00000172731	-1.933589584	2.14E-17
ENSG00000010803	-4.093113568	1.00E-104
ENSG00000141503	-1.240436608	3.26E-07
ENSG00000146426	-1.660834306	2.05E-22
ENSG00000159788	-3.496750488	1.07E-50
ENSG00000091157	-2.055942837	1.58E-31
ENSG00000013523	-2.148976902	2.68E-23
ENSG00000100068	1.008710248	1.24E-05
ENSG00000165661	-1.612698744	5.48E-15
ENSG00000165868	-1.140441216	3.71E-07
ENSG00000157823	-1.211404422	0.000732138
ENSG00000224976	-1.145690689	5.23E-05
ENSG00000156466	1.288054299	0.000198473
ENSG00000013441	1.317603174	2.61E-18
ENSG00000068079	2.791197638	8.22E-13
ENSG00000142459	-2.059828525	2.45E-08
ENSG00000170917	-1.09818985	0.000178493
ENSG00000172292	1.745223939	3.02E-33
ENSG00000141429	-1.025523562	1.04E-09
ENSG00000111450	-1.295835327	4.83E-09
ENSG00000258989	4.42220354	4.08E-09
ENSG00000252759	1.420077295	1.02E-05
ENSG00000164879	2.200814092	3.04E-05
ENSG00000134982	-1.051156804	2.66E-09
ENSG00000165406	-1.901548841	1.04E-26
ENSG00000124181	-1.264900137	4.27E-10
ENSG00000273840	-3.063296617	1.47E-12
ENSG00000197646	-2.217418085	7.42E-13
ENSG00000259736	-1.300856826	0.000200304
ENSG00000166510	-3.022779254	5.37E-15
ENSG00000040199	-1.01286936	5.80E-09
ENSG00000132670	-1.62910397	1.97E-23
ENSG00000063169	-1.520030893	6.64E-12
ENSG00000184792	-1.129609771	0.000495962
ENSG00000081087	1.161683316	3.25E-11
ENSG00000230590	-1.141192104	0.000162441
ENSG00000138380	-2.255947733	3.21E-10
ENSG00000184939	-1.756961647	5.54E-14
ENSG00000113916	1.06014754	0.000135046
ENSG00000159110	-2.660315316	2.26E-40
ENSG00000254349	-1.78096304	0.001834917
ENSG00000258941	-1.102236293	1.06E-06
ENSG00000099992	-1.023965277	3.17E-05
ENSG00000226864	3.270335146	4.46E-08
ENSG00000112242	-1.27906684	3.68E-13
ENSG00000255229	3.800140023	1.09E-07
ENSG00000213523	3.207616852	3.16E-30
ENSG00000205336	-1.231411894	0.001179378
ENSG00000240682	1.20442653	9.69E-11
ENSG00000204856	-1.420547058	4.30E-11
ENSG00000107331	-2.080326621	0.001626986
ENSG00000213973	-1.667112214	2.72E-07
ENSG00000187840	-1.083905865	2.28E-09
ENSG00000153936	-1.149970629	2.43E-11
ENSG00000153395	-1.951969537	1.55E-18
ENSG00000259129	-3.273333488	0.000291505
ENSG00000134330	-2.540398925	1.89E-25
ENSG00000275496	1.919975248	4.32E-21
ENSG00000276077	1.921016997	3.07E-21
ENSG00000277067	1.921016997	3.07E-21
ENSG00000272657	-3.193020944	2.28E-20
ENSG00000067057	-1.412909782	9.64E-13
ENSG00000198707	-1.918418252	2.10E-21
ENSG00000105829	5.680905708	5.16E-19
ENSG00000100003	-1.132700216	0.001930888
ENSG00000122694	-2.920230773	2.26E-23
ENSG00000116525	-1.659129778	1.63E-13
ENSG00000263528	-1.376054982	9.22E-05
ENSG00000265590	3.644885151	8.35E-17
ENSG00000213742	-1.994381252	1.68E-08
ENSG00000187720	-1.502612546	7.47E-14
ENSG00000003436	-1.150210245	1.07E-06
ENSG00000196776	-1.003143623	1.10E-05
ENSG00000026103	-1.507308752	0.000163306
ENSG00000272104	2.325704489	2.95E-07
ENSG00000104805	2.614881322	4.55E-32
ENSG00000107758	-1.658600074	9.64E-18
ENSG00000023516	-2.119072583	1.28E-28
ENSG00000153933	2.07275604	5.46E-35
ENSG00000226562	1.082962876	0.000412943
ENSG00000135931	-1.518360637	4.14E-15
ENSG00000266504	-1.115941542	7.18E-06
ENSG00000138463	-1.552385505	7.91E-14
ENSG00000158296	-2.007373763	3.92E-05
ENSG00000109184	-1.13266353	5.09E-10
ENSG00000230067	2.317405703	1.13E-11
ENSG00000283341	-1.265442995	2.00E-12
ENSG00000092208	-1.430045137	9.43E-11
ENSG00000204370	1.710843497	1.23E-08
ENSG00000239665	1.741809863	3.98E-05
ENSG00000134825	2.859795325	2.10E-07
ENSG00000159079	1.400514897	8.02E-10
ENSG00000166796	-1.175449851	0.000356149
ENSG00000163950	1.570094506	5.37E-26
ENSG00000215790	-1.012960952	8.86E-05
ENSG00000263072	2.258643202	4.18E-08
ENSG00000115594	-1.699791201	4.65E-10
ENSG00000049769	1.506626642	0.0002498
ENSG00000172572	-1.338273309	4.28E-08
ENSG00000166557	-1.513891887	6.07E-08
ENSG00000102974	-1.11064199	7.17E-10
ENSG00000151376	-1.859684534	5.78E-25
ENSG00000005436	-1.279870499	2.44E-07
ENSG00000158402	-1.175977438	1.04E-06
ENSG00000173264	1.421602815	9.04E-09
ENSG00000257093	-1.970371842	8.40E-17
ENSG00000157429	-1.671561994	2.63E-13
ENSG00000163637	1.885431388	8.49E-27
ENSG00000077713	-2.358313724	5.92E-22
ENSG00000140025	-2.947274585	6.19E-34
ENSG00000081791	-1.021124984	1.70E-05
ENSG00000138604	-2.481564174	2.44E-24
ENSG00000140943	-2.409128365	3.24E-36
ENSG00000176826	-1.37892584	5.33E-06
ENSG00000242220	3.48558258	7.86E-05
ENSG00000141337	-2.072063925	1.17E-19
ENSG00000105656	-1.300180554	1.34E-13
ENSG00000070366	-1.064659699	1.12E-08
ENSG00000197959	-1.160954878	1.02E-10
ENSG00000283411	-1.13282537	9.61E-13
ENSG00000053524	-1.764190426	2.35E-10
ENSG00000178567	2.077297163	1.40E-05
ENSG00000173436	-1.442832545	1.90E-14
ENSG00000231312	-1.507582434	0.000100485
ENSG00000197536	-2.551563981	3.78E-14
ENSG00000180822	-1.316953263	2.19E-12
ENSG00000088340	2.470070293	1.16E-16
ENSG00000196747	-1.581300867	1.61E-15
ENSG00000210151	1.377402997	1.42E-14
ENSG00000038532	-1.511678444	2.62E-20
ENSG00000120029	-1.245974878	3.44E-15
ENSG00000187837	-2.955883183	1.02E-41
ENSG00000068650	-1.10464156	7.03E-11
ENSG00000180354	-1.080703039	0.00017594
ENSG00000178125	2.089710623	0.00165975
ENSG00000260167	2.120746402	2.02E-05
ENSG00000272325	-1.022642772	2.90E-05
ENSG00000251503	1.175852322	0.000392506
ENSG00000179715	-2.851225814	6.54E-15
ENSG00000215126	-1.124273408	2.70E-12
ENSG00000277991	2.230711592	8.42E-20
ENSG00000091622	-1.809239423	9.37E-12
ENSG00000172456	-1.486214884	5.88E-13
ENSG00000165630	1.041748925	1.68E-08
ENSG00000265818	-1.275998277	1.07E-10
ENSG00000186063	-1.019809054	1.17E-06
ENSG00000154059	-1.310978012	1.69E-09
ENSG00000133943	-1.51836852	4.22E-13
ENSG00000065621	2.780061634	3.00E-05
ENSG00000154240	-1.18836242	6.91E-10
ENSG00000197150	1.322220624	0.000162444
ENSG00000196873	-1.152118254	9.21E-13
ENSG00000232593	-1.386106417	2.58E-08
ENSG00000139629	-1.816053239	1.84E-12
ENSG00000075702	-1.340537046	1.77E-13
ENSG00000141447	2.125043244	4.87E-32
ENSG00000160796	-3.290980371	2.57E-12
ENSG00000126091	-1.712658752	5.21E-19
ENSG00000162430	-1.303797564	3.85E-06
ENSG00000186567	1.170102289	2.69E-05
ENSG00000143870	1.224176107	5.65E-18
ENSG00000124596	-1.073763382	2.00E-05
ENSG00000159423	-3.904521917	0.000358764
ENSG00000118600	-1.389998145	4.56E-09
ENSG00000188603	1.652703303	6.71E-07
ENSG00000023608	1.367758683	3.33E-15
ENSG00000259112	2.738791494	3.98E-21
ENSG00000188690	-3.058059216	4.97E-24
ENSG00000164845	-2.389991264	1.56E-11
ENSG00000254995	-1.415946058	1.86E-08
ENSG00000133027	-2.355260713	5.48E-24
ENSG00000263307	1.204324209	1.10E-07
ENSG00000130856	-1.18649977	4.59E-10
ENSG00000113742	2.017640129	2.25E-34
ENSG00000130702	1.938281877	4.04E-09
ENSG00000175193	-1.10383821	1.99E-09
ENSG00000223725	-1.194148252	1.81E-05
ENSG00000230666	2.398555811	1.03E-05
ENSG00000087303	2.923934944	1.80E-26
ENSG00000088280	-1.909442144	2.38E-14
ENSG00000069399	-1.415643048	5.79E-06
ENSG00000123836	-3.49176076	1.33E-10
ENSG00000258825	-3.182381309	1.39E-07
ENSG00000146776	-3.555615502	1.53E-65
ENSG00000221926	2.327142758	9.82E-46
ENSG00000181938	1.178320094	6.80E-09
ENSG00000119900	-1.836494872	2.88E-21
ENSG00000147145	-1.837676769	0.000994481
ENSG00000163684	1.146370525	6.23E-10
ENSG00000188428	-2.264169022	3.20E-10
ENSG00000276256	2.220090072	1.91E-14
ENSG00000273542	-1.597362318	3.26E-14
ENSG00000147996	-1.265469808	1.13E-15
ENSG00000259628	-1.906475818	2.13E-11
ENSG00000089063	2.347547607	1.00E-14
ENSG00000134686	-1.739784413	2.85E-19
ENSG00000143093	-2.571513323	1.50E-27
ENSG00000180573	1.768646922	2.23E-11
ENSG00000054116	1.148174514	8.89E-13
ENSG00000124942	-2.955381692	6.48E-38
ENSG00000127980	-2.639951051	4.52E-25
ENSG00000104904	1.05411221	4.46E-07
ENSG00000203485	-1.088114718	2.60E-05
ENSG00000258301	-3.018664766	2.06E-07
ENSG00000089041	-1.389626177	0.00141872
ENSG00000162929	-1.694985518	2.29E-09
ENSG00000280571	2.220582577	4.55E-23
ENSG00000214338	-1.439233706	5.59E-06
ENSG00000242731	-3.057692842	9.66E-05
ENSG00000111271	1.257062183	4.26E-07
ENSG00000162458	-1.012992416	2.20E-05
ENSG00000159593	-1.321839798	1.39E-17
ENSG00000223511	-1.435692657	2.04E-05
ENSG00000105499	2.701130268	1.51E-06
ENSG00000146670	1.753316175	1.52E-08
ENSG00000277723	-2.42842334	0.001417565
ENSG00000120256	-1.112920962	2.80E-06
ENSG00000162378	-3.187208283	4.18E-75
